PG.ProteinAccessions	[1] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.htrms.PG.Quantity	[2] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.htrms.PG.Quantity	[3] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.htrms.PG.Quantity	[4] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.htrms.PG.Quantity
O15063	117.51197052001953	129.65394592285156	108.61112213134766	109.36466217041016
O15066	172.07269287109375	165.4657440185547	176.29136657714844	146.7028045654297
O15067	5029.955078125	5161.11181640625	5259.1708984375	5211.35693359375
O15068	114.76187896728516	99.04387664794922	104.11803436279297	85.29415893554688
O15078	61.97861099243164	56.71603012084961	41.7779541015625	38.723899841308594
O15084	584.1739501953125	579.8070678710938	623.521728515625	568.815673828125
O15091	229.80885314941406	233.4993133544922	243.82920837402344	238.59173583984375
O15111	389.81121826171875	329.1248779296875	364.80548095703125	399.9427185058594
O15116	262.26336669921875	253.1924285888672	288.6674499511719	285.1548767089844
O15118	698.9475708007812	579.2142944335938	589.0328979492188	543.6891479492188
O15120	534.110107421875	548.0932006835938	499.82684326171875	554.4160766601562
O15121	377.074951171875	375.65533447265625	373.4251403808594	389.78741455078125
O15126	305.0013732910156	276.88507080078125	310.6091613769531	269.10089111328125
O15127	149.6943817138672	157.36122131347656	123.60946655273438	149.63035583496094
O15131	296.732177734375	345.2762145996094	325.75054931640625	288.7032775878906
O15143	1287.100830078125	1287.4227294921875	1259.110595703125	1271.6566162109375
O15144	1682.8310546875	1707.7344970703125	1682.048095703125	1767.62841796875
O15145	2132.68505859375	2078.044677734375	1966.2880859375	1963.8175048828125
O15155	443.6842956542969	396.7228088378906	411.98193359375	439.2189025878906
O15156	89.67158508300781	95.33731079101562	69.89707946777344	97.03919982910156
O15160	1458.9940185546875	1461.270263671875	1456.9395751953125	1519.61376953125
O15162	118.25208282470703	98.91084289550781	72.90550994873047	85.70269012451172
O15164	446.3289489746094	418.3662414550781	474.323486328125	423.21380615234375
O15169	49.271934509277344	NaN	121.10980224609375	NaN
O15173	1188.511962890625	1023.9230346679688	1034.6707763671875	1095.8240966796875
O15182	202.88217163085938	196.1871337890625	187.17111206054688	169.39974975585938
O15211	194.34417724609375	106.86641693115234	NaN	243.16464233398438
O15212	4607.5576171875	4292.98095703125	4339.076171875	4250.48046875
O15213	855.4847412109375	896.65966796875	866.7052001953125	900.2437133789062
O15226	466.8831481933594	499.9955749511719	477.4385070800781	447.5177307128906
O15228	230.51292419433594	218.1521759033203	251.37893676757812	272.4950866699219
O15230	556.8963623046875	527.521484375	474.4187316894531	491.09490966796875
O15231	35.875	37.98005676269531	31.169078826904297	30.795175552368164
O15234	168.60960388183594	121.84515380859375	161.82777404785156	158.04449462890625
O15235	233.64430236816406	214.66488647460938	205.63133239746094	246.9324493408203
O15243	22.228548049926758	43.15737533569336	42.318153381347656	32.317405700683594
O15254	143.1559600830078	145.3549041748047	150.8906707763672	142.018798828125
O15258	1463.6173095703125	1421.434326171875	1257.73583984375	1397.148193359375
O15260	1749.4527587890625	1704.18212890625	1816.575927734375	1763.0306396484375
O15269	874.7298583984375	834.5800170898438	839.7994995117188	828.9141235351562
O15270	576.3878784179688	682.730712890625	623.9352416992188	658.3353881835938
O15287	107.6664047241211	115.75626373291016	90.61775207519531	115.93563842773438
O15294	883.2794799804688	844.6668701171875	838.5150146484375	862.5061645507812
O15297	129.8271484375	74.27869415283203	104.06489562988281	88.52698516845703
O15304	149.2122039794922	141.4758758544922	95.14505767822266	134.46267700195312
O15305	1407.2928466796875	1421.27880859375	1466.5406494140625	1493.9068603515625
O15315	NaN	162.83660888671875	140.5751495361328	NaN
O15318	389.7430114746094	425.8441162109375	438.3526611328125	387.23370361328125
O15321	380.94439697265625	403.1583557128906	347.2382507324219	389.7568664550781
O15344	172.14183044433594	175.08360290527344	185.54966735839844	179.5160369873047
O15347	1996.9952392578125	2157.702392578125	2019.570556640625	1995.5047607421875
O15355	3115.947021484375	3117.6669921875	3136.10986328125	3050.881103515625
O15357	968.9965209960938	972.0728759765625	939.1318359375	961.8094482421875
O15360	46.86791229248047	47.15641784667969	32.279117584228516	45.769283294677734
O15371	1855.3289794921875	1958.892578125	1968.724853515625	1936.9498291015625
O15372	2540.25537109375	2573.880859375	2439.0390625	2496.983154296875
O15379	218.60220336914062	206.45550537109375	229.18826293945312	229.94325256347656
O15381	640.6671752929688	639.708251953125	613.5044555664062	619.3277587890625
O15382	589.4473876953125	592.8704833984375	589.0382690429688	543.4441528320312
O15392	139.3661651611328	136.4952392578125	136.80276489257812	122.47396850585938
O15397	952.6021728515625	1014.8330688476562	1036.1702880859375	954.53515625
O15400	484.638671875	479.1055908203125	495.2438659667969	490.12548828125
O15403	154.43980407714844	131.43206787109375	151.43453979492188	162.26812744140625
O15409	180.73361206054688	38.70998001098633	177.17105102539062	NaN
O15417	126.64928436279297	68.87947082519531	88.12127685546875	54.04972457885742
O15427	1946.119384765625	2037.6845703125	2030.2806396484375	1985.09375
O15431	197.29165649414062	211.84002685546875	177.13377380371094	224.9243927001953
O15439	251.60470581054688	242.19210815429688	241.80319213867188	244.83970642089844
O15440	817.918212890625	765.9094848632812	912.219970703125	860.434326171875
