Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.d
P54098				24970.9	26176.3	25897.1	23410.6
P54105				417904	414653	436670	405313
P54132				56074	54217.5	56810.9	58589.5
P54136				521303	488912	478322	430138
P54198				16825.2	14936.5	14541.7	17044.9
P54252				12087.4	10181.5	13341.8	13919.1
P54259				7085.31	7172.49	6185.92	7096.38
P54274				24523.8	17010	25348	25153.4
P54277				4038.68	5663.45	6613.87	5470.74
P54278				38520.2	41016.4	41524.2	40766
P54289				25067.1	26539.2	27494	26838.7
P54577				566529	576500	565344	573750
P54578				261010	257852	261317	252899
P54619				42325.7	41478	34953	40291.1
P54652				11379.4	11062.7	11612	10373.7
P54687						11127.5	9103.54
P54709				244797	261276	264433	249269
P54725				70706	88046.5	74604.1	78025.9
P54727				185187	211618	207191	209354
P54750				23512	22324	23332.8	20706.7
P54760				25039.3	28583.6	26035.6	24133.3
P54802				22587.8	19929.4	23011.1	23387.3
P54819				330280	313637	312463	299839
P54852				44598.5	54392.7	41389.8	43318.2
P54886				271985	274701	277657	272979
P54920				152842	155326	146964	146405
P55010				366942	365606	338799	335490
P55011				17521.2	17069.1	16570.3	16906.8
P55036				175402	184649	184797	193203
P55039				81795.4	81089	83838.7	73922.8
P55055				2999.38	3623.55	3759.4	5453.38
P55058				32848.5	26104.4	32747.4	39484.7
P55060				1.23264e+06	1.27336e+06	1.27215e+06	1.25586e+06
